Velocity_m_s,T_max_K
1000.00,672.6823
1285.71,961.7158
1571.43,1323.1716
1857.14,1756.9531
2142.86,2263.0314
2428.57,2841.3977
2714.29,3492.0500
3000.00,4214.9884
3285.71,5010.2138
3571.43,5877.7271
3857.14,6817.5289
4142.86,7829.6200
4428.57,8914.0009
4714.29,10070.6720
5000.00,11299.6335
